inventor_name,assignee_name_orig,assignee_name_current,pub_date,priority_date,grant_date,filing_date,forward_cite_no_family,forward_cite_yes_family,backward_cite_no_family,backward_cite_yes_family,url,patent
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1905-03-10,1903-01-06,1905-03-10,,"[{""patent_number"": ""DE1000889B"", ""priority_date"": ""1954-01-29"", ""pub_date"": ""1957-01-17""}]",[],[],[],AT19461B,https://patents.google.com/patent/AT19461B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1902-09-25,1900-07-31,1902-09-25,,[],[],[],[],AT9157B,https://patents.google.com/patent/AT9157B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1906-04-25,1904-12-10,1906-04-25,,[],[],[],[],AT23979B,https://patents.google.com/patent/AT23979B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1908-08-10,1905-12-30,1908-08-10,,[],[],[],[],AT33940B,https://patents.google.com/patent/AT33940B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1908-06-02,1907-05-10,1908-06-02,,[],"[{""patent_number"": ""FR1012581A"", ""priority_date"": ""1949-12-06"", ""pub_date"": ""1952-07-15""}, {""patent_number"": ""BE537437A"", ""priority_date"": ""1954-08-19"", ""pub_date"": """"}, {""patent_number"": ""US3317349A"", ""priority_date"": ""1963-03-15"", ""pub_date"": ""1967-05-02""}]",[],[],FR386001A,https://patents.google.com/patent/FR386001A
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1906-12-27,1904-12-10,1906-12-27,,[],[],[],[],AT26781B,https://patents.google.com/patent/AT26781B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1902-09-10,1900-10-24,1902-09-10,,[],[],[],[],AT9095B,https://patents.google.com/patent/AT9095B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1908-12-28,1905-12-30,1908-12-28,,[],[],[],[],AT35596B,https://patents.google.com/patent/AT35596B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1909-04-26,1906-07-07,1909-04-26,,[],[],[],[],AT37077B,https://patents.google.com/patent/AT37077B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1906-12-27,1904-12-10,1906-12-27,,[],[],[],[],AT26782B,https://patents.google.com/patent/AT26782B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1902-05-10,1900-08-18,1902-05-10,,[],[],[],[],AT7459B,https://patents.google.com/patent/AT7459B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1908-12-28,1905-12-30,1908-12-28,,[],[],[],[],AT35605B,https://patents.google.com/patent/AT35605B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1906-05-25,1901-02-05,1906-05-25,,[],[],[],[],AT24256B,https://patents.google.com/patent/AT24256B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1906-12-27,1904-12-10,1906-12-27,,[],[],[],[],AT26856B,https://patents.google.com/patent/AT26856B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1902-03-26,1900-08-18,1902-03-26,,[],[],[],[],AT7130B,https://patents.google.com/patent/AT7130B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1908-12-28,1907-12-30,1908-12-28,,[],[],[],[],AT35609B,https://patents.google.com/patent/AT35609B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1905-12-11,1903-01-29,1905-12-11,,[],[],[],[],AT22264B,https://patents.google.com/patent/AT22264B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1909-01-11,1906-01-25,1909-01-11,,[],[],[],[],AT35857B,https://patents.google.com/patent/AT35857B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1905-08-10,1903-01-06,1905-08-10,,[],[],[],[],AT20868B,https://patents.google.com/patent/AT20868B
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1900-12-08,1900-07-31,1900-12-08,,"[{""patent_number"": ""US5330253A"", ""priority_date"": ""1992-10-16"", ""pub_date"": ""1994-07-19""}]",[],[],[],GB190013693A,https://patents.google.com/patent/GB190013693A
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1893-02-08,,1893-02-08,,"[{""patent_number"": ""WO1979000325A1"", ""priority_date"": ""1977-11-30"", ""pub_date"": ""1979-06-14""}]",[],[],[],CA41891A,https://patents.google.com/patent/CA41891A
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1906-07-04,1905-03-30,1906-07-04,,"[{""patent_number"": ""FR2537784A1"", ""priority_date"": ""1982-12-10"", ""pub_date"": ""1984-06-15""}]",[],[],[],FR362692A,https://patents.google.com/patent/FR362692A
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1905-04-25,,1905-04-25,,"[{""patent_number"": ""DE2355865A1"", ""priority_date"": ""1972-11-08"", ""pub_date"": ""1974-05-09""}]",[],[],[],FR348747A,https://patents.google.com/patent/FR348747A
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1906-07-04,1905-03-30,1906-07-04,,[],"[{""patent_number"": ""DE2614773C2"", ""priority_date"": ""1976-04-06"", ""pub_date"": ""1984-10-18""}]",[],[],FR362691A,https://patents.google.com/patent/FR362691A
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1911-01-24,1910-10-21,1911-01-24,,[],[],[],[],CA130636A,https://patents.google.com/patent/CA130636A
"[{""inventor_name"": ""Thomas Alva Edison""}]","[{""assignee_name"": ""Thomas Alva Edison""}]",[],1903-07-09,1903-01-06,1903-07-09,,"[{""patent_number"": ""FR2538622A1"", ""priority_date"": ""1982-12-28"", ""pub_date"": ""1984-06-29""}]",[],[],[],FR328291A,https://patents.google.com/patent/FR328291A
